,MPG,Cylinders,displacement,horsepower,weight,acceleration,age
81,28.0,4,97.0,92.0,2288.0,17.0,51
82,23.0,4,120.0,97.0,2506.0,14.5,51
83,28.0,4,98.0,80.0,2164.0,15.0,51
84,27.0,4,97.0,88.0,2100.0,16.5,51
85,13.0,8,350.0,175.0,4100.0,13.0,50
86,14.0,8,304.0,150.0,3672.0,11.5,50
87,13.0,8,350.0,145.0,3988.0,13.0,50
88,14.0,8,302.0,137.0,4042.0,14.5,50
89,15.0,8,318.0,150.0,3777.0,12.5,50
90,12.0,8,429.0,198.0,4952.0,11.5,50
91,13.0,8,400.0,150.0,4464.0,12.0,50
92,13.0,8,351.0,158.0,4363.0,13.0,50
93,14.0,8,318.0,150.0,4237.0,14.5,50
94,13.0,8,440.0,215.0,4735.0,11.0,50
95,12.0,8,455.0,225.0,4951.0,11.0,50
96,13.0,8,360.0,175.0,3821.0,11.0,50
97,18.0,6,225.0,105.0,3121.0,16.5,50
98,16.0,6,250.0,100.0,3278.0,18.0,50
99,18.0,6,232.0,100.0,2945.0,16.0,50
100,18.0,6,250.0,88.0,3021.0,16.5,50
101,23.0,6,198.0,95.0,2904.0,16.0,50
102,26.0,4,97.0,46.0,1950.0,21.0,50
103,11.0,8,400.0,150.0,4997.0,14.0,50
104,12.0,8,400.0,167.0,4906.0,12.5,50
105,13.0,8,360.0,170.0,4654.0,13.0,50
106,12.0,8,350.0,180.0,4499.0,12.5,50
107,18.0,6,232.0,100.0,2789.0,15.0,50
108,20.0,4,97.0,88.0,2279.0,19.0,50
109,21.0,4,140.0,72.0,2401.0,19.5,50
110,22.0,4,108.0,94.0,2379.0,16.5,50
111,18.0,3,70.0,90.0,2124.0,13.5,50
112,19.0,4,122.0,85.0,2310.0,18.5,50
113,21.0,6,155.0,107.0,2472.0,14.0,50
114,26.0,4,98.0,90.0,2265.0,15.5,50
115,15.0,8,350.0,145.0,4082.0,13.0,50
116,16.0,8,400.0,230.0,4278.0,9.5,50
117,29.0,4,68.0,49.0,1867.0,19.5,50
118,24.0,4,116.0,75.0,2158.0,15.5,50
119,20.0,4,114.0,91.0,2582.0,14.0,50
120,19.0,4,121.0,112.0,2868.0,15.5,50
121,15.0,8,318.0,150.0,3399.0,11.0,50
122,24.0,4,121.0,110.0,2660.0,14.0,50
123,20.0,6,156.0,122.0,2807.0,13.5,50
124,11.0,8,350.0,180.0,3664.0,11.0,50
125,20.0,6,198.0,95.0,3102.0,16.5,49
126,21.0,6,200.0,95.0,2875.0,17.0,49
127,19.0,6,232.0,100.0,2901.0,16.0,49
128,15.0,6,250.0,100.0,3336.0,17.0,49
129,31.0,4,79.0,67.0,1950.0,19.0,49
130,26.0,4,122.0,80.0,2451.0,16.5,49
131,32.0,4,71.0,65.0,1836.0,21.0,49
132,25.0,4,140.0,75.0,2542.0,17.0,49
133,16.0,6,250.0,100.0,3781.0,17.0,49
134,16.0,6,258.0,110.0,3632.0,18.0,49
135,18.0,6,225.0,105.0,3613.0,16.5,49
136,16.0,8,302.0,140.0,4141.0,14.0,49
137,13.0,8,350.0,150.0,4699.0,14.5,49
138,14.0,8,318.0,150.0,4457.0,13.5,49
139,14.0,8,302.0,140.0,4638.0,16.0,49
140,14.0,8,304.0,150.0,4257.0,15.5,49
141,29.0,4,98.0,83.0,2219.0,16.5,49
142,26.0,4,79.0,67.0,1963.0,15.5,49
143,26.0,4,97.0,78.0,2300.0,14.5,49
144,31.0,4,76.0,52.0,1649.0,16.5,49
145,32.0,4,83.0,61.0,2003.0,19.0,49
146,28.0,4,90.0,75.0,2125.0,14.5,49
147,24.0,4,90.0,75.0,2108.0,15.5,49
148,26.0,4,116.0,75.0,2246.0,14.0,49
149,24.0,4,120.0,97.0,2489.0,15.0,49
150,26.0,4,108.0,93.0,2391.0,15.5,49
151,31.0,4,79.0,67.0,2000.0,16.0,49
152,19.0,6,225.0,95.0,3264.0,16.0,48
153,18.0,6,250.0,105.0,3459.0,16.0,48
154,15.0,6,250.0,72.0,3432.0,21.0,48
155,15.0,6,250.0,72.0,3158.0,19.5,48
156,16.0,8,400.0,170.0,4668.0,11.5,48
157,15.0,8,350.0,145.0,4440.0,14.0,48
158,16.0,8,318.0,150.0,4498.0,14.5,48
159,14.0,8,351.0,148.0,4657.0,13.5,48
160,17.0,6,231.0,110.0,3907.0,21.0,48
161,16.0,6,250.0,105.0,3897.0,18.5,48
162,15.0,6,258.0,110.0,3730.0,19.0,48
163,18.0,6,225.0,95.0,3785.0,19.0,48
164,21.0,6,231.0,110.0,3039.0,15.0,48
165,20.0,8,262.0,110.0,3221.0,13.5,48
166,13.0,8,302.0,129.0,3169.0,12.0,48
167,29.0,4,97.0,75.0,2171.0,16.0,48
168,23.0,4,140.0,83.0,2639.0,17.0,48
169,20.0,6,232.0,100.0,2914.0,16.0,48
170,23.0,4,140.0,78.0,2592.0,18.5,48
171,24.0,4,134.0,96.0,2702.0,13.5,48
172,25.0,4,90.0,71.0,2223.0,16.5,48
173,24.0,4,119.0,97.0,2545.0,17.0,48
174,18.0,6,171.0,97.0,2984.0,14.5,48
175,29.0,4,90.0,70.0,1937.0,14.0,48
176,19.0,6,232.0,90.0,3211.0,17.0,48
177,23.0,4,115.0,95.0,2694.0,15.0,48
178,23.0,4,120.0,88.0,2957.0,17.0,48
179,22.0,4,121.0,98.0,2945.0,14.5,48
180,25.0,4,121.0,115.0,2671.0,13.5,48
181,33.0,4,91.0,53.0,1795.0,17.5,48
182,28.0,4,107.0,86.0,2464.0,15.5,47
183,25.0,4,116.0,81.0,2220.0,16.9,47
184,25.0,4,140.0,92.0,2572.0,14.9,47
185,26.0,4,98.0,79.0,2255.0,17.7,47
186,27.0,4,101.0,83.0,2202.0,15.3,47
187,17.5,8,305.0,140.0,4215.0,13.0,47
188,16.0,8,318.0,150.0,4190.0,13.0,47
189,15.5,8,304.0,120.0,3962.0,13.9,47
190,14.5,8,351.0,152.0,4215.0,12.8,47
191,22.0,6,225.0,100.0,3233.0,15.4,47
192,22.0,6,250.0,105.0,3353.0,14.5,47
193,24.0,6,200.0,81.0,3012.0,17.6,47
194,22.5,6,232.0,90.0,3085.0,17.6,47
195,29.0,4,85.0,52.0,2035.0,22.2,47
196,24.5,4,98.0,60.0,2164.0,22.1,47
197,29.0,4,90.0,70.0,1937.0,14.2,47
198,33.0,4,91.0,53.0,1795.0,17.4,47
199,20.0,6,225.0,100.0,3651.0,17.7,47
200,18.0,6,250.0,78.0,3574.0,21.0,47
201,18.5,6,250.0,110.0,3645.0,16.2,47
202,17.5,6,258.0,95.0,3193.0,17.8,47
203,29.5,4,97.0,71.0,1825.0,12.2,47
204,32.0,4,85.0,70.0,1990.0,17.0,47
205,28.0,4,97.0,75.0,2155.0,16.4,47
206,26.5,4,140.0,72.0,2565.0,13.6,47
207,20.0,4,130.0,102.0,3150.0,15.7,47
208,13.0,8,318.0,150.0,3940.0,13.2,47
209,19.0,4,120.0,88.0,3270.0,21.9,47
210,19.0,6,156.0,108.0,2930.0,15.5,47
211,16.5,6,168.0,120.0,3820.0,16.7,47
212,16.5,8,350.0,180.0,4380.0,12.1,47
213,13.0,8,350.0,145.0,4055.0,12.0,47
214,13.0,8,302.0,130.0,3870.0,15.0,47
215,13.0,8,318.0,150.0,3755.0,14.0,47
216,31.5,4,98.0,68.0,2045.0,18.5,46
217,30.0,4,111.0,80.0,2155.0,14.8,46
218,36.0,4,79.0,58.0,1825.0,18.6,46
219,25.5,4,122.0,96.0,2300.0,15.5,46
220,33.5,4,85.0,70.0,1945.0,16.8,46
221,17.5,8,305.0,145.0,3880.0,12.5,46
222,17.0,8,260.0,110.0,4060.0,19.0,46
223,15.5,8,318.0,145.0,4140.0,13.7,46
224,15.0,8,302.0,130.0,4295.0,14.9,46
225,17.5,6,250.0,110.0,3520.0,16.4,46
226,20.5,6,231.0,105.0,3425.0,16.9,46
227,19.0,6,225.0,100.0,3630.0,17.7,46
228,18.5,6,250.0,98.0,3525.0,19.0,46
229,16.0,8,400.0,180.0,4220.0,11.1,46
230,15.5,8,350.0,170.0,4165.0,11.4,46
231,15.5,8,400.0,190.0,4325.0,12.2,46
232,16.0,8,351.0,149.0,4335.0,14.5,46
233,29.0,4,97.0,78.0,1940.0,14.5,46
234,24.5,4,151.0,88.0,2740.0,16.0,46
235,26.0,4,97.0,75.0,2265.0,18.2,46
236,25.5,4,140.0,89.0,2755.0,15.8,46
237,30.5,4,98.0,63.0,2051.0,17.0,46
238,33.5,4,98.0,83.0,2075.0,15.9,46
239,30.0,4,97.0,67.0,1985.0,16.4,46
240,30.5,4,97.0,78.0,2190.0,14.1,46
241,22.0,6,146.0,97.0,2815.0,14.5,46
242,21.5,4,121.0,110.0,2600.0,12.8,46
243,21.5,3,80.0,110.0,2720.0,13.5,46
244,43.1,4,90.0,48.0,1985.0,21.5,45
245,36.1,4,98.0,66.0,1800.0,14.4,45
246,32.8,4,78.0,52.0,1985.0,19.4,45
247,39.4,4,85.0,70.0,2070.0,18.6,45
248,36.1,4,91.0,60.0,1800.0,16.4,45
249,19.9,8,260.0,110.0,3365.0,15.5,45
250,19.4,8,318.0,140.0,3735.0,13.2,45
251,20.2,8,302.0,139.0,3570.0,12.8,45
252,19.2,6,231.0,105.0,3535.0,19.2,45
253,20.5,6,200.0,95.0,3155.0,18.2,45
254,20.2,6,200.0,85.0,2965.0,15.8,45
255,25.1,4,140.0,88.0,2720.0,15.4,45
256,20.5,6,225.0,100.0,3430.0,17.2,45
257,19.4,6,232.0,90.0,3210.0,17.2,45
258,20.6,6,231.0,105.0,3380.0,15.8,45
259,20.8,6,200.0,85.0,3070.0,16.7,45
260,18.6,6,225.0,110.0,3620.0,18.7,45
261,18.1,6,258.0,120.0,3410.0,15.1,45
262,19.2,8,305.0,145.0,3425.0,13.2,45
263,17.7,6,231.0,165.0,3445.0,13.4,45
264,18.1,8,302.0,139.0,3205.0,11.2,45
265,17.5,8,318.0,140.0,4080.0,13.7,45
266,30.0,4,98.0,68.0,2155.0,16.5,45
267,27.5,4,134.0,95.0,2560.0,14.2,45
268,27.2,4,119.0,97.0,2300.0,14.7,45
269,30.9,4,105.0,75.0,2230.0,14.5,45
270,21.1,4,134.0,95.0,2515.0,14.8,45
271,23.2,4,156.0,105.0,2745.0,16.7,45
272,23.8,4,151.0,85.0,2855.0,17.6,45
273,23.9,4,119.0,97.0,2405.0,14.9,45
274,20.3,5,131.0,103.0,2830.0,15.9,45
275,17.0,6,163.0,125.0,3140.0,13.6,45
276,21.6,4,121.0,115.0,2795.0,15.7,45
277,16.2,6,163.0,133.0,3410.0,15.8,45
278,31.5,4,89.0,71.0,1990.0,14.9,45
279,29.5,4,98.0,68.0,2135.0,16.6,45
280,21.5,6,231.0,115.0,3245.0,15.4,44
281,19.8,6,200.0,85.0,2990.0,18.2,44
282,22.3,4,140.0,88.0,2890.0,17.3,44
283,20.2,6,232.0,90.0,3265.0,18.2,44
284,20.6,6,225.0,110.0,3360.0,16.6,44
285,17.0,8,305.0,130.0,3840.0,15.4,44
286,17.6,8,302.0,129.0,3725.0,13.4,44
287,16.5,8,351.0,138.0,3955.0,13.2,44
288,18.2,8,318.0,135.0,3830.0,15.2,44
289,16.9,8,350.0,155.0,4360.0,14.9,44
290,15.5,8,351.0,142.0,4054.0,14.3,44
291,19.2,8,267.0,125.0,3605.0,15.0,44
292,18.5,8,360.0,150.0,3940.0,13.0,44
293,31.9,4,89.0,71.0,1925.0,14.0,44
294,34.1,4,86.0,65.0,1975.0,15.2,44
295,35.7,4,98.0,80.0,1915.0,14.4,44
296,27.4,4,121.0,80.0,2670.0,15.0,44
297,25.4,5,183.0,77.0,3530.0,20.1,44
298,23.0,8,350.0,125.0,3900.0,17.4,44
299,27.2,4,141.0,71.0,3190.0,24.8,44
300,23.9,8,260.0,90.0,3420.0,22.2,44
301,34.2,4,105.0,70.0,2200.0,13.2,44
302,34.5,4,105.0,70.0,2150.0,14.9,44
303,31.8,4,85.0,65.0,2020.0,19.2,44
304,37.3,4,91.0,69.0,2130.0,14.7,44
305,28.4,4,151.0,90.0,2670.0,16.0,44
306,28.8,6,173.0,115.0,2595.0,11.3,44
307,26.8,6,173.0,115.0,2700.0,12.9,44
308,33.5,4,151.0,90.0,2556.0,13.2,44
309,41.5,4,98.0,76.0,2144.0,14.7,43
310,38.1,4,89.0,60.0,1968.0,18.8,43
311,32.1,4,98.0,70.0,2120.0,15.5,43
312,37.2,4,86.0,65.0,2019.0,16.4,43
313,28.0,4,151.0,90.0,2678.0,16.5,43
314,26.4,4,140.0,88.0,2870.0,18.1,43
315,24.3,4,151.0,90.0,3003.0,20.1,43
316,19.1,6,225.0,90.0,3381.0,18.7,43
317,34.3,4,97.0,78.0,2188.0,15.8,43
318,29.8,4,134.0,90.0,2711.0,15.5,43
319,31.3,4,120.0,75.0,2542.0,17.5,43
320,37.0,4,119.0,92.0,2434.0,15.0,43
321,32.2,4,108.0,75.0,2265.0,15.2,43
322,46.6,4,86.0,65.0,2110.0,17.9,43
323,27.9,4,156.0,105.0,2800.0,14.4,43
324,40.8,4,85.0,65.0,2110.0,19.2,43
325,44.3,4,90.0,48.0,2085.0,21.7,43
326,43.4,4,90.0,48.0,2335.0,23.7,43
327,36.4,5,121.0,67.0,2950.0,19.9,43
328,30.0,4,146.0,67.0,3250.0,21.8,43
329,44.6,4,91.0,67.0,1850.0,13.8,43
330,40.9,4,85.0,67.0,1835.0,17.3,43
331,33.8,4,97.0,67.0,2145.0,18.0,43
332,29.8,4,89.0,62.0,1845.0,15.3,43
333,32.7,6,168.0,132.0,2910.0,11.4,43
334,23.7,3,70.0,100.0,2420.0,12.5,43
335,35.0,4,122.0,88.0,2500.0,15.1,43
336,23.6,4,140.0,88.0,2905.0,14.3,43
337,32.4,4,107.0,72.0,2290.0,17.0,43
338,27.2,4,135.0,84.0,2490.0,15.7,42
339,26.6,4,151.0,84.0,2635.0,16.4,42
340,25.8,4,156.0,92.0,2620.0,14.4,42
341,23.5,6,173.0,110.0,2725.0,12.6,42
342,30.0,4,135.0,84.0,2385.0,12.9,42
343,39.1,4,79.0,58.0,1755.0,16.9,42
344,39.0,4,86.0,64.0,1875.0,16.4,42
345,35.1,4,81.0,60.0,1760.0,16.1,42
346,32.3,4,97.0,67.0,2065.0,17.8,42
347,37.0,4,85.0,65.0,1975.0,19.4,42
348,37.7,4,89.0,62.0,2050.0,17.3,42
349,34.1,4,91.0,68.0,1985.0,16.0,42
350,34.7,4,105.0,63.0,2215.0,14.9,42
351,34.4,4,98.0,65.0,2045.0,16.2,42
352,29.9,4,98.0,65.0,2380.0,20.7,42
353,33.0,4,105.0,74.0,2190.0,14.2,42
354,34.5,4,100.0,74.0,2320.0,15.8,42
355,33.7,4,107.0,75.0,2210.0,14.4,42
356,32.4,4,108.0,75.0,2350.0,16.8,42
357,32.9,4,119.0,100.0,2615.0,14.8,42
358,31.6,4,120.0,74.0,2635.0,18.3,42
359,28.1,4,141.0,80.0,3230.0,20.4,42
360,30.7,6,145.0,76.0,3160.0,19.6,42
361,25.4,6,168.0,116.0,2900.0,12.6,42
362,24.2,6,146.0,120.0,2930.0,13.8,42
363,22.4,6,231.0,110.0,3415.0,15.8,42
364,26.6,8,350.0,105.0,3725.0,19.0,42
365,20.2,6,200.0,88.0,3060.0,17.1,42
366,17.6,6,225.0,85.0,3465.0,16.6,42
367,28.0,4,112.0,88.0,2605.0,19.6,41
368,27.0,4,112.0,88.0,2640.0,18.6,41
369,34.0,4,112.0,88.0,2395.0,18.0,41
370,31.0,4,112.0,85.0,2575.0,16.2,41
371,29.0,4,135.0,84.0,2525.0,16.0,41
372,27.0,4,151.0,90.0,2735.0,18.0,41
373,24.0,4,140.0,92.0,2865.0,16.4,41
374,23.0,4,151.0,92.0,3035.0,20.5,41
375,36.0,4,105.0,74.0,1980.0,15.3,41
376,37.0,4,91.0,68.0,2025.0,18.2,41
377,31.0,4,91.0,68.0,1970.0,17.6,41
378,38.0,4,105.0,63.0,2125.0,14.7,41
379,36.0,4,98.0,70.0,2125.0,17.3,41
380,36.0,4,120.0,88.0,2160.0,14.5,41
381,36.0,4,107.0,75.0,2205.0,14.5,41
382,34.0,4,108.0,70.0,2245.0,16.9,41
383,38.0,4,91.0,67.0,1965.0,15.0,41
384,32.0,4,91.0,67.0,1965.0,15.7,41
385,38.0,4,91.0,67.0,1995.0,16.2,41
386,25.0,6,181.0,110.0,2945.0,16.4,41
387,38.0,6,262.0,85.0,3015.0,17.0,41
388,26.0,4,156.0,92.0,2585.0,14.5,41
389,22.0,6,232.0,112.0,2835.0,14.7,41
390,32.0,4,144.0,96.0,2665.0,13.9,41
391,36.0,4,135.0,84.0,2370.0,13.0,41
392,27.0,4,151.0,90.0,2950.0,17.3,41
393,27.0,4,140.0,86.0,2790.0,15.6,41
394,44.0,4,97.0,52.0,2130.0,24.6,41
395,32.0,4,135.0,84.0,2295.0,11.6,41
396,28.0,4,120.0,79.0,2625.0,18.6,41
397,31.0,4,119.0,82.0,2720.0,19.4,41
